Date, Time, Field, Opponent, Result
2012-05-17, 6:00 PM, 1, The Dogs of Nashville, L (3-7)
2012-05-22, 6:00 PM, 2, Stadler's Last Stand, T (6-6)
2012-05-24, 7:00 PM, 1, Misfits, L (2-11)
2012-05-31, 7:00 PM, 2, Ionizers, rain
2012-06-05, 8:00 PM, 3, VCH Suits, W (11-4)
2012-06-07, 7:00 PM, 1, Sutures, L (1-2)
2012-06-14, 6:00 PM, 2, Scared Hitless, L (4-8)
2012-06-19, 6:00 PM, 1, McGugin Mayhem, W (15-8)
2012-06-28, 6:00 PM, 1, The Dogs of Nashville, ? (1-?)
2012-07-10, 6:00 PM, 2, Stadler's Last Stand, rain
2012-07-26, 7:00 PM, 1, Misfits, T (5-5)
2012-07-19, 7:00 PM, 2, Ionizers, W (14-?)
2012-07-31, 8:00 PM, , Bad Medicine, L (6-16)
